,trustlist_a_1,trustlist_b_1,trustlist_c_1,trustlist_a_2,trustlist_b_2,trustlist_c_2,trustlist_a,trustlist_b,trustlist_c,treat,y,female,ccpmember,urban,education,agegroup,income,life,pinterest,self_index,confucian_a,confucian_b,confucian_c,confucian_d,china,confucian_all,centraltrust_all,localtrust_all,weight_internet,college,young,high.income,high.life,high.pinterest,high.self,high.china,high.confucian_all
273,NA,3,NA,NA,NA,NA,NA,3,NA,b,3,1,0,1,4,2,7,4,4,3.333333333,2,4,2,2,4,2.5,4,3,2.253273,0,1,1,1,1,1,1,0
274,NA,NA,NA,NA,NA,4,NA,NA,4,c,4,1,0,1,5,3,6,4,3,3,2,2,2,3,4,2.25,3,3,0.214487,1,1,1,1,1,1,1,0
275,NA,NA,4,NA,NA,NA,NA,NA,4,c,4,0,1,1,5,4,9,3,3,3.333333333,2,4,3,4,4,3.25,4,3,0.1339237,1,0,1,0,1,1,1,1
276,NA,4,NA,NA,NA,NA,NA,4,NA,b,4,0,1,0,5,5,5,3,4,2.666666667,2,3,3,4,5,3,4,3,0.1339237,1,0,0,0,1,0,1,1
277,NA,NA,4,NA,NA,NA,NA,NA,4,c,4,0,0,1,5,4,7,5,4,3.333333333,1,1,1,2,5,1.25,4,4,0.2849104,1,0,1,1,1,1,1,0
278,NA,NA,2,NA,NA,NA,NA,NA,2,c,2,0,0,1,6,4,7,4,2,2,2,1,2,3,3,2,3,3,0.2849104,1,0,1,1,0,0,0,0
279,NA,2,NA,NA,NA,NA,NA,2,NA,b,2,0,1,0,5,2,6,3,4,4,1,2,1,2,4,1.5,3,2,0.0802852,1,1,1,0,1,1,1,0
280,NA,NA,NA,NA,3,NA,NA,3,NA,b,3,0,0,1,5,6,5,3,3,3,2,2,2,3,3,2.25,4,3,0.2849104,1,0,0,0,1,1,0,0
281,NA,NA,NA,3,NA,NA,3,NA,NA,a,3,0,1,1,6,5,7,3,1,3,2,2,3,3,4,2.5,4,3,0.1339237,1,0,1,0,0,1,1,0
282,1,NA,NA,NA,NA,NA,1,NA,NA,a,1,1,0,1,6,5,5,4,2,3,2,2,3,3,3,2.5,4,3,0.3577848,1,0,0,1,0,1,0,0
283,NA,NA,NA,NA,NA,4,NA,NA,4,c,4,1,0,0,5,3,5,4,4,3.333333333,3,4,4,4,5,3.75,4,3,0.214487,1,1,0,1,1,1,1,1
284,NA,NA,NA,NA,NA,3,NA,NA,3,c,3,0,0,1,5,4,7,4,4,2.333333333,3,2,4,3,4,3,4,3,0.2849104,1,0,1,1,1,0,1,1
285,NA,NA,NA,3,NA,NA,3,NA,NA,a,3,0,0,1,5,2,6,5,2,2,3,3,3,4,4,3.25,3,3,0.1707994,1,1,1,1,0,0,1,1
286,NA,NA,NA,NA,3,NA,NA,3,NA,b,3,0,0,0,4,4,8,5,3,2.666666667,3,3,3,3,5,3,3,3,2.993115,0,0,1,1,1,0,1,1
287,NA,NA,NA,3,NA,NA,3,NA,NA,a,3,0,1,1,5,2,7,4,3,4.666666667,3,3,3,4,4,3.25,4,4,0.0802852,1,1,1,1,1,1,1,1
288,2,NA,NA,NA,NA,NA,2,NA,NA,a,2,0,0,1,5,3,5,3,3,1.666666667,3,3,3,3,3,3,4,2,0.1707994,1,1,0,0,1,0,0,1
289,NA,NA,2,NA,NA,NA,NA,NA,2,c,2,0,1,1,5,4,7,5,4,3,2,4,3,4,5,3.25,4,3,0.1339237,1,0,1,1,1,1,1,1
290,NA,NA,NA,NA,2,NA,NA,2,NA,b,2,0,0,1,4,8,2,4,3,3.333333333,2,2,2,2,4,2,3,2,2.993115,0,0,0,1,1,1,1,0
291,4,NA,NA,NA,NA,NA,4,NA,NA,a,4,1,0,0,4,2,4,4,3,2.333333333,2,3,2,2,5,2.25,4,3,2.253273,0,1,0,1,1,0,1,0
292,NA,4,NA,NA,NA,NA,NA,4,NA,b,4,1,0,1,5,3,7,4,3,3,2,2,2,3,4,2.25,4,3,0.214487,1,1,1,1,1,1,1,0
293,0,NA,NA,NA,NA,NA,0,NA,NA,a,0,1,0,1,5,8,2,1,3,2.666666667,1,1,1,1,1,1,1,1,0.3577848,1,0,0,0,1,0,0,0
294,NA,NA,NA,0,NA,NA,0,NA,NA,a,0,1,0,1,6,4,6,4,4,2.333333333,1,1,1,1,1,1,2,2,0.3577848,1,0,1,1,1,0,0,0
295,NA,1,NA,NA,NA,NA,NA,1,NA,b,1,0,0,1,5,2,6,4,3,3.333333333,2,2,3,2,4,2.25,3,2,0.1707994,1,1,1,1,1,1,1,0
296,2,NA,NA,NA,NA,NA,2,NA,NA,a,2,0,0,1,5,4,7,4,3,2.333333333,2,2,2,2,4,2,4,4,0.2849104,1,0,1,1,1,0,1,0
