,female,ccpmember,urban,education,agegroup,income,life,pinterest,self_index,china,confucian_a,confucian_b,confucian_c,confucian_d,termlimit_a_1,termlimit_a_2,termlimit_a,termlist_a_1,termlist_a_2,termlist_a,termlist_b_1,termlist_b_2,termlist_b,weight_internet,treat,y,confucian_all,college,young,high.income,high.life,high.pinterest,high.self,high.china,high.confucian_all,termlimit_a_b
1511,0,0,1,6,7,5,5,3,3,3,1,2,2,2,NA,2,2,NA,NA,NA,2,NA,2,0.2849104,1,2,1.75,1,0,0,1,1,1,0,0,0
1512,1,0,1,2,3,7,5,4,2.333333333,5,4,4,4,4,5,NA,5,NA,NA,NA,NA,3,3,2.253273,1,3,4,0,1,1,1,1,0,1,1,1
1513,1,0,1,2,3,7,5,3,2.333333333,4,4,4,4,3,4,NA,4,NA,NA,NA,NA,3,3,2.253273,1,3,3.75,0,1,1,1,1,0,1,1,1
1515,1,1,1,4,6,8,5,4,3.333333333,5,2,3,4,4,NA,4,4,3,NA,3,NA,NA,NA,1.766799,0,3,3.25,0,0,1,1,1,1,1,1,1
1516,1,0,1,5,6,6,2,3,2.666666667,4,3,3,3,3,2,NA,2,NA,NA,NA,NA,4,4,0.3577848,1,4,3,1,0,1,0,1,0,1,1,0
1517,1,1,1,4,6,7,5,4,3.333333333,5,2,3,4,4,NA,4,4,NA,NA,NA,4,NA,4,1.766799,1,4,3.25,0,0,1,1,1,1,1,1,1
1518,0,0,1,3,6,5,4,4,2.333333333,4,2,3,3,3,NA,4,4,2,NA,2,NA,NA,NA,2.993115,0,2,2.75,0,0,0,1,1,0,1,1,1
1519,1,1,1,4,3,7,5,4,3.666666667,5,2,3,4,4,NA,4,4,NA,NA,NA,4,NA,4,1.059162,1,4,3.25,0,1,1,1,1,1,1,1,1
1520,1,1,1,4,3,7,5,4,3.666666667,5,2,3,3,4,NA,4,4,NA,NA,NA,4,NA,4,1.059162,1,4,3,0,1,1,1,1,1,1,1,1
1521,1,0,1,6,2,9,5,4,3,5,3,3,3,4,5,NA,5,NA,2,2,NA,NA,NA,0.214487,0,2,3.25,1,1,1,1,1,1,1,1,1
1522,1,1,1,4,3,7,5,4,3,5,2,3,4,4,NA,4,4,NA,NA,NA,4,NA,4,1.059162,1,4,3.25,0,1,1,1,1,1,1,1,1
1523,1,0,0,5,3,5,3,3,3.333333333,5,2,2,2,3,NA,5,5,1,NA,1,NA,NA,NA,0.214487,0,1,2.25,1,1,0,0,1,1,1,0,1
1524,1,0,0,3,9,7,5,1,1.666666667,4,2,4,4,4,NA,2,2,NA,NA,NA,3,NA,3,3.758696,1,3,3.5,0,0,1,1,0,0,1,1,0
1525,1,0,0,3,7,4,4,3,2.666666667,5,2,3,3,3,5,NA,5,NA,NA,NA,NA,3,3,3.758696,1,3,2.75,0,0,0,1,1,0,1,1,1
1526,1,0,1,4,3,5,4,3,3,4,1,1,3,3,NA,4,4,NA,NA,NA,1,NA,1,2.253273,1,1,2,0,1,0,1,1,1,1,0,1
1528,1,0,1,5,6,7,4,3,2.666666667,4,2,2,3,3,NA,4,4,NA,NA,NA,2,NA,2,0.3577848,1,2,2.5,1,0,1,1,1,0,1,0,1
1529,1,0,0,3,9,6,5,2,1.666666667,5,2,4,4,4,NA,2,2,3,NA,3,NA,NA,NA,3.758696,0,3,3.5,0,0,1,1,0,0,1,1,0
1531,1,0,1,6,4,7,4,3,2.333333333,4,2,2,2,3,2,NA,2,NA,2,2,NA,NA,NA,0.3577848,0,2,2.25,1,0,1,1,1,0,1,0,0
1534,1,0,1,5,5,4,3,3,2,3,3,3,3,3,2,NA,2,NA,NA,NA,NA,1,1,0.3577848,1,1,3,1,0,0,0,1,0,0,1,0
1538,1,0,1,2,2,8,5,4,2.333333333,5,4,4,3,4,NA,5,5,NA,NA,NA,3,NA,3,2.253273,1,3,3.75,0,1,1,1,1,0,1,1,1
1542,1,0,1,5,4,5,5,3,2.333333333,5,4,4,4,4,NA,5,5,NA,NA,NA,3,NA,3,0.3577848,1,3,4,1,0,0,1,1,0,1,1,1
1543,1,1,1,5,4,8,5,4,4,5,4,4,4,4,5,NA,5,NA,NA,NA,NA,4,4,0.1681787,1,4,4,1,0,1,1,1,1,1,1,1
1545,1,0,1,4,5,6,4,2,3.666666667,4,3,3,3,4,NA,2,2,NA,NA,NA,4,NA,4,3.758696,1,4,3.25,0,0,1,1,0,1,1,1,0
1548,1,0,1,5,3,5,4,2,3.666666667,3,1,1,2,3,1,NA,1,NA,NA,NA,NA,2,2,0.214487,1,2,1.75,1,1,0,1,0,1,0,0,0
1550,1,1,1,6,2,7,4,4,2.666666667,4,2,2,3,3,NA,4,4,NA,NA,NA,3,NA,3,0.100821,1,3,2.5,1,1,1,1,1,0,1,0,1
1551,1,0,1,5,2,7,4,3,2.333333333,4,2,3,3,3,4,NA,4,NA,NA,NA,NA,3,3,0.214487,1,3,2.75,1,1,1,1,1,0,1,1,1
1553,0,0,0,5,2,9,4,4,3,4,2,2,2,3,NA,1,1,NA,NA,NA,1,NA,1,0.1707994,1,1,2.25,1,1,1,1,1,1,1,0,0
1554,0,0,1,3,1,5,3,3,4,4,2,1,3,2,2,NA,2,NA,3,3,NA,NA,NA,1.794325,0,3,2,0,1,0,0,1,1,1,0,0
1557,0,0,1,5,2,5,5,3,3.333333333,4,2,2,2,4,NA,4,4,NA,NA,NA,2,NA,2,0.1707994,1,2,2.5,1,1,0,1,1,1,1,0,1
1559,1,1,1,5,3,4,3,4,2.666666667,4,3,2,4,3,5,NA,5,NA,NA,NA,NA,2,2,0.100821,1,2,3,1,1,0,0,1,0,1,1,1
1564,0,1,1,5,5,7,5,4,2.666666667,5,2,4,2,4,5,NA,5,NA,2,2,NA,NA,NA,0.1339237,0,2,3,1,0,1,1,1,0,1,1,1
1565,0,1,1,4,3,7,5,4,4.666666667,5,4,4,4,4,NA,1,1,3,NA,3,NA,NA,NA,0.8434338,0,3,4,0,1,1,1,1,1,1,1,0
1567,1,1,1,3,2,7,5,4,2.666666667,4,4,3,3,4,4,NA,4,NA,1,1,NA,NA,NA,1.059162,0,1,3.5,0,1,1,1,1,0,1,1,1
1568,0,0,0,5,2,6,4,3,3,4,1,1,1,2,NA,2,2,NA,NA,NA,2,NA,2,0.1707994,1,2,1.25,1,1,1,1,1,1,1,0,0
1569,0,1,1,3,4,8,5,3,4,5,4,4,4,4,5,NA,5,NA,NA,NA,NA,2,2,1.40693,1,2,4,0,0,1,1,1,1,1,1,1
1571,0,0,1,5,5,4,4,4,4.333333333,5,3,4,3,4,5,NA,5,NA,NA,NA,NA,3,3,0.2849104,1,3,3.5,1,0,0,1,1,1,1,1,1
1572,0,0,1,4,5,6,4,2,2.333333333,3,2,4,1,4,NA,2,2,NA,NA,NA,3,NA,3,2.993115,1,3,2.75,0,0,1,1,0,0,0,1,0
1573,0,0,1,5,4,8,5,3,4,5,4,3,4,4,NA,5,5,3,NA,3,NA,NA,NA,0.2849104,0,3,3.75,1,0,1,1,1,1,1,1,1
1574,1,0,1,2,3,7,5,4,2.333333333,5,4,4,4,4,NA,5,5,NA,NA,NA,3,NA,3,2.253273,1,3,4,0,1,1,1,1,0,1,1,1
1575,1,0,1,2,3,7,5,4,2.333333333,5,4,4,4,4,5,NA,5,NA,NA,NA,NA,3,3,2.253273,1,3,4,0,1,1,1,1,0,1,1,1
1576,0,0,1,6,2,8,3,3,4,3,2,3,4,2,4,NA,4,NA,NA,NA,NA,3,3,0.1707994,1,3,2.75,1,1,1,0,1,1,0,1,1
1577,1,0,1,5,5,5,5,3,2,4,2,3,2,3,5,NA,5,NA,2,2,NA,NA,NA,0.3577848,0,2,2.5,1,0,0,1,1,0,1,0,1
1578,1,1,1,4,2,5,4,3,2.333333333,4,3,3,3,4,NA,4,4,0,NA,0,NA,NA,NA,1.059162,0,0,3.25,0,1,0,1,1,0,1,1,1
1579,0,0,0,3,7,6,5,2,2,5,2,4,3,4,NA,2,2,NA,NA,NA,3,NA,3,2.993115,1,3,3.25,0,0,1,1,0,0,1,1,0
1580,0,0,1,5,4,5,4,2,2.666666667,4,2,2,2,3,NA,2,2,NA,NA,NA,1,NA,1,0.2849104,1,1,2.25,1,0,0,1,0,0,1,0,0
1581,0,1,1,6,3,9,5,4,2.666666667,4,1,1,1,3,2,NA,2,NA,NA,NA,NA,3,3,0.0802852,1,3,1.5,1,1,1,1,1,0,1,0,0
1582,1,0,1,3,1,4,4,1,3.666666667,5,1,3,2,4,2,NA,2,NA,NA,NA,NA,3,3,2.253273,1,3,2.5,0,1,0,1,0,1,1,0,0
1583,1,0,1,5,4,5,5,3,2.333333333,4,2,2,3,4,NA,2,2,NA,NA,NA,2,NA,2,0.3577848,1,2,2.75,1,0,0,1,1,0,1,1,0
1585,1,0,1,6,2,6,3,2,2,3,2,2,2,3,2,NA,2,NA,NA,NA,NA,3,3,0.214487,1,3,2.25,1,1,1,0,0,0,0,0,0
1586,0,1,1,6,4,8,4,4,2.666666667,4,2,2,2,3,4,NA,4,NA,NA,NA,NA,2,2,0.1339237,1,2,2.25,1,0,1,1,1,0,1,0,1
1588,0,1,1,5,6,6,5,3,3,5,2,3,3,3,2,NA,2,NA,2,2,NA,NA,NA,0.1339237,0,2,2.75,1,0,1,1,1,1,1,1,0
1590,1,0,1,4,4,4,3,2,1.666666667,3,3,3,3,3,2,NA,2,NA,NA,NA,NA,1,1,3.758696,1,1,3,0,0,0,0,0,0,0,1,0
1594,0,0,1,5,5,5,4,4,3,4,2,3,2,2,NA,2,2,2,NA,2,NA,NA,NA,0.2849104,0,2,2.25,1,0,0,1,1,1,1,0,0
1595,1,0,1,5,3,5,2,2,2.666666667,3,2,2,1,3,NA,2,2,2,NA,2,NA,NA,NA,0.214487,0,2,2,1,1,0,0,0,0,0,0,0
1597,1,1,1,5,4,7,4,4,3.666666667,4,2,2,2,3,NA,1,1,2,NA,2,NA,NA,NA,0.1681787,0,2,2.25,1,0,1,1,1,1,1,0,0
1601,1,1,1,5,6,7,5,3,3,5,2,2,4,4,5,NA,5,NA,NA,NA,NA,2,2,0.1681787,1,2,3,1,0,1,1,1,1,1,1,1
1602,1,0,0,3,6,6,5,2,3,5,4,4,3,4,NA,4,4,3,NA,3,NA,NA,NA,3.758696,0,3,3.75,0,0,1,1,0,1,1,1,1
