,female,ccpmember,urban,education,agegroup,income,life,pinterest,self_index,china,confucian_a,confucian_b,confucian_c,confucian_d,termlimit_a_1,termlimit_a_2,termlimit_a,termlist_a_1,termlist_a_2,termlist_a,termlist_b_1,termlist_b_2,termlist_b,weight_internet,treat,y,confucian_all,college,young,high.income,high.life,high.pinterest,high.self,high.china,high.confucian_all,termlimit_a_b
1344,0,0,0,3,1,5,4,2,3.333333333,4,2,2,2,4,4,NA,4,NA,NA,NA,NA,2,2,1.794325,1,2,2.5,0,1,0,1,0,1,1,0,1
1345,0,0,1,5,4,7,2,4,3.666666667,2,2,2,1,3,NA,2,2,NA,NA,NA,2,NA,2,0.2849104,1,2,2,1,0,1,0,1,1,0,0,0
1346,0,0,0,5,1,5,4,3,2.666666667,4,2,2,2,3,1,NA,1,NA,NA,NA,NA,2,2,0.1707994,1,2,2.25,1,1,0,1,1,0,1,0,0
1347,1,0,1,5,3,4,3,2,2,4,2,2,2,3,2,NA,2,NA,1,1,NA,NA,NA,0.214487,0,1,2.25,1,1,0,0,0,0,1,0,0
1348,0,0,1,5,2,5,5,3,2,5,3,4,4,4,5,NA,5,NA,NA,NA,NA,4,4,0.1707994,1,4,3.75,1,1,0,1,1,0,1,1,1
1349,0,0,1,6,4,9,3,4,2.333333333,3,1,2,2,2,4,NA,4,NA,NA,NA,NA,3,3,0.2849104,1,3,1.75,1,0,1,0,1,0,0,0,1
1352,1,1,0,6,3,7,5,3,2.666666667,5,2,2,2,4,NA,4,4,NA,NA,NA,3,NA,3,0.100821,1,3,2.5,1,1,1,1,1,0,1,0,1
1353,1,0,1,5,3,7,4,2,2,3,1,1,2,1,NA,4,4,NA,NA,NA,4,NA,4,0.214487,1,4,1.25,1,1,1,1,0,0,0,0,1
1354,0,0,1,5,3,5,5,3,2,3,2,1,1,2,2,NA,2,NA,NA,NA,NA,2,2,0.1707994,1,2,1.5,1,1,0,1,1,0,0,0,0
1356,1,1,0,5,2,6,4,4,3,4,1,3,1,2,4,NA,4,NA,NA,NA,NA,2,2,0.100821,1,2,1.75,1,1,1,1,1,1,1,0,1
1357,0,0,1,5,3,5,3,2,3,3,2,3,2,3,NA,5,5,2,NA,2,NA,NA,NA,0.1707994,0,2,2.5,1,1,0,0,0,1,0,0,1
1359,0,0,1,5,5,7,5,3,4.333333333,5,3,4,4,4,NA,5,5,3,NA,3,NA,NA,NA,0.2849104,0,3,3.75,1,0,1,1,1,1,1,1,1
1361,0,0,1,4,6,1,3,2,2.333333333,4,3,3,3,4,NA,2,2,NA,NA,NA,2,NA,2,2.993115,1,2,3.25,0,0,0,0,0,0,1,1,0
1362,1,0,0,3,6,4,5,1,1.666666667,5,3,4,4,4,NA,4,4,3,NA,3,NA,NA,NA,3.758696,0,3,3.75,0,0,0,1,0,0,1,1,1
1364,0,0,0,4,7,7,5,2,1.666666667,5,2,4,4,4,4,NA,4,NA,NA,NA,NA,3,3,2.993115,1,3,3.5,0,0,1,1,0,0,1,1,1
1365,1,0,1,4,3,7,3,3,3,3,1,3,2,4,NA,4,4,NA,NA,NA,4,NA,4,2.253273,1,4,2.5,0,1,1,0,1,1,0,0,1
1366,1,0,1,3,7,5,4,3,2.666666667,4,2,2,1,3,NA,2,2,2,NA,2,NA,NA,NA,3.758696,0,2,2,0,0,0,1,1,0,1,0,0
1371,1,0,0,2,3,5,4,2,2.666666667,3,2,3,2,3,NA,4,4,3,NA,3,NA,NA,NA,2.253273,0,3,2.5,0,1,0,1,0,0,0,0,1
1372,1,0,1,3,3,6,4,2,3,4,2,3,3,4,NA,4,4,3,NA,3,NA,NA,NA,2.253273,0,3,3,0,1,1,1,0,1,1,1,1
1373,1,0,1,3,3,5,4,3,2.333333333,4,3,2,3,3,2,NA,2,NA,3,3,NA,NA,NA,2.253273,0,3,2.75,0,1,0,1,1,0,1,1,0
1375,1,0,1,3,3,7,4,1,2.666666667,4,3,3,2,4,2,NA,2,NA,NA,NA,NA,3,3,2.253273,1,3,3,0,1,1,1,0,0,1,1,0
1376,1,1,1,3,3,8,5,4,3.333333333,5,2,3,3,4,NA,4,4,3,NA,3,NA,NA,NA,1.059162,0,3,3,0,1,1,1,1,1,1,1,1
1377,1,0,1,3,3,6,4,2,2.666666667,2,2,2,2,3,1,NA,1,NA,NA,NA,NA,3,3,2.253273,1,3,2.25,0,1,1,1,0,0,0,0,0
1379,1,1,1,3,3,8,5,4,3.333333333,5,4,4,4,3,NA,4,4,NA,NA,NA,4,NA,4,1.059162,1,4,3.75,0,1,1,1,1,1,1,1,1
1381,1,1,0,5,3,6,4,4,3,4,2,3,2,2,NA,5,5,NA,NA,NA,3,NA,3,0.100821,1,3,2.25,1,1,1,1,1,1,1,0,1
1382,1,0,0,5,2,3,4,3,2.333333333,4,2,3,2,4,NA,2,2,2,NA,2,NA,NA,NA,0.214487,0,2,2.75,1,1,0,1,1,0,1,1,0
1383,1,1,1,3,3,7,5,4,3,5,2,4,3,4,NA,4,4,NA,NA,NA,4,NA,4,1.059162,1,4,3.25,0,1,1,1,1,1,1,1,1
1384,1,0,1,5,2,8,5,4,3.333333333,3,1,1,1,3,NA,1,1,NA,NA,NA,1,NA,1,0.214487,1,1,1.5,1,1,1,1,1,1,0,0,0
